Tarih;PM10 ( µg/m³ );SO2 ( µg/m³ );NO2 ( µg/m³ );O3 ( µg/m³ )
31.01.2020;14,06;4,45;4,46;24,7
30.01.2020;25,66;4,58;7,66;18,74
29.01.2020;17,97;4,69;8,03;22,78
28.01.2020;16,38;4,88;8,2;23,72
27.01.2020;12,93;4,74;8,2;23,6
26.01.2020;13,41;4,79;8,4;24,25
25.01.2020;12,19;4,87;7,66;25,98
24.01.2020;6,22;4,75;3,16;35,45
23.01.2020;9,33;4,91;6,13;27,8
22.01.2020;7,89;4,7;5,87;29,12
21.01.2020;5,42;4,68;3,72;34,99
20.01.2020;8,38;4,63;4,76;33,26
19.01.2020;11,82;4,68;7,25;28,6
18.01.2020;12,57;4,62;7;23,25
17.01.2020;10,8;4,78;5,41;30,36
16.01.2020;8,96;4,76;6,25;28,04
15.01.2020;11,6;4,74;7,31;25,1
14.01.2020;12,49;4,82;7,44;24,4
13.01.2020;11,53;3,84;6,72;22,86
12.01.2020;11,91;3;6,8;19,65
11.01.2020;11,71;3,02;8,96;20,66
10.01.2020;7,2;2,96;4,91;23,93
9.01.2020;6,55;2,88;3,54;19,74
8.01.2020;7,89;2,85;3,94;22,18
7.01.2020;8,03;2,88;3,25;23,93
6.01.2020;6,55;2,9;3,5;22,22
5.01.2020;9,95;2,89;4,98;21,51
4.01.2020;6,22;2,86;4,81;19,36
3.01.2020;9,82;2,88;3,97;19,57
2.01.2020;8,25;3;5,63;18,9
1.01.2020;8,87;2,93;4,63;17,84
31.12.2019;12,47;2,92;4,63;19,22
30.12.2019;4,89;2,85;3,64;22,31
29.12.2019;6,27;2,84;4,26;16,83
28.12.2019;7,58;2,91;4,95;13,93
27.12.2019;7,22;2,87;5,34;14,85
26.12.2019;4,46;2,75;3,1;21,83
25.12.2019;5,08;2,73;3,54;22,62
24.12.2019;10,73;2,73;4;21,37
23.12.2019;25,43;3,1;7,71;21,3
22.12.2019;24,8;3,12;8,66;18,99
21.12.2019;28,28;3,23;14,38;16,64
20.12.2019;18,23;3,06;10,72;16,08
19.12.2019;22,02;3,1;12,6;17,1
18.12.2019;16,45;3,07;9,24;16,03
17.12.2019;14,39;2,95;8,6;14,44
16.12.2019;10,32;2,76;5,45;13,91
15.12.2019;6,95;2,81;4,36;19,1
14.12.2019;5,36;2,8;3,45;17,96
13.12.2019;5,91;2,79;3,69;18,65
12.12.2019;8,65;2,85;3,14;18,49
11.12.2019;20,7;2,92;3,49;17,53
10.12.2019;10,65;2,56;2,08;18,06
9.12.2019;10,86;2,72;2,29;20,39
8.12.2019;17,16;2,82;4,84;19,59
7.12.2019;13,53;3,03;5,99;20,53
6.12.2019;8,82;2,81;3,12;21,06
5.12.2019;8,9;2,52;3,72;18,41
4.12.2019;10,73;2,45;4,67;17,33
3.12.2019;9,82;2,39;4,44;17,43
2.12.2019;7,75;2,25;1,9;17,27
1.12.2019;12,8;2,6;5,68;12,92
